x,y,z,source,maxzoom
40,30,6,glo30,12
41,30,6,glo30,12
40,31,6,glo30,12
26,44,6,glo30,12
27,44,6,glo30,12
27,45,6,glo30,12
267,161,9,glo30,12
266,161,9,glo30,12
1069,636,11,glo30,12
1069,637,11,glo30,12
30,18,5,glo30,12
31,19,5,glo30,12
548,403,10,glo30,12
548,402,10,glo30,12
7,18,6,glo30,12
7,19,6,glo30,12
6,18,6,glo30,12
10,26,6,glo30,12
11,27,6,glo30,12
11,26,6,glo30,12
167,143,8,glo30,12
166,142,8,glo30,12
167,142,8,glo30,12
30,10,5,glo30,12
31,10,5,glo30,12
7,48,6,glo30,12
6,48,6,glo30,12
3,2,4,glo30,12
3,3,4,glo30,12
179,247,9,glo30,12
178,247,9,glo30,12
29,5,5,glo30,12
28,5,5,glo30,12
63,18,6,glo30,12
62,18,6,glo30,12
21,5,5,glo30,12
134,96,8,glo30,12
135,97,8,glo30,12
134,97,8,glo30,12
16,7,5,glo30,12
17,7,5,glo30,12
8,12,5,glo30,12
8,13,5,glo30,12
250,175,9,glo30,12
251,174,9,glo30,12
9,16,5,glo30,12
9,17,5,glo30,12
8,17,5,glo30,12
13,36,6,glo30,12
12,37,6,glo30,12
12,36,6,glo30,12
1,17,5,glo30,12
0,17,5,glo30,12
45,11,6,glo30,12
44,10,6,glo30,12
44,11,6,glo30,12
3,6,4,glo30,12
14,3,4,glo30,12
276,193,9,glo30,12
276,192,9,glo30,12
277,192,9,glo30,12
15,9,5,glo30,12
14,8,5,glo30,12
1080,772,11,glo30,12
1080,773,11,glo30,12
38,34,6,glo30,12
39,35,6,glo30,12
38,35,6,glo30,12
18,26,6,glo30,12
18,27,6,glo30,12
19,27,6,glo30,12
5,8,4,glo30,12
535,321,10,glo30,12
535,320,10,glo30,12
19,7,5,glo30,12
18,7,5,glo30,12
10,7,5,glo30,12
11,6,5,glo30,12
11,7,5,glo30,12
20,44,6,glo30,12
21,45,6,glo30,12
24,23,5,glo30,12
4,13,4,glo30,12
10,3,4,glo30,12
11,3,4,glo30,12
30,26,5,glo30,12
30,27,5,glo30,12
31,27,5,glo30,12
20,13,6,glo30,12
21,12,6,glo30,12
21,13,6,glo30,12
0,27,5,glo30,12
1,27,5,glo30,12
17,3,5,glo30,12
18,16,5,glo30,12
19,16,5,glo30,12
18,17,5,glo30,12
18,24,6,glo30,12
19,24,6,glo30,12
18,25,6,glo30,12
23,45,6,glo30,12
22,45,6,glo30,12
31,20,5,glo30,12
13,8,4,glo30,12
12,48,6,glo30,12
13,48,6,glo30,12
5,13,6,glo30,12
4,13,6,glo30,12
24,45,6,glo30,12
25,44,6,glo30,12
28,3,6,glo30,12
29,3,6,glo30,12
9,19,5,glo30,12
15,49,6,glo30,12
14,48,6,glo30,12
15,48,6,glo30,12
30,7,5,glo30,12
31,7,5,glo30,12
26,1,6,glo30,12
27,1,6,glo30,12
7,14,5,glo30,12
1056,752,11,glo30,12
1057,752,11,glo30,12
535,316,10,glo30,12
535,317,10,glo30,12
534,317,10,glo30,12
139,97,8,glo30,12
139,96,8,glo30,12
1,10,5,glo30,12
0,10,5,glo30,12
5,7,5,glo30,12
4,7,5,glo30,12
5,6,5,glo30,12
10,1,4,glo30,12
1,19,6,glo30,12
1,18,6,glo30,12
529,377,10,glo30,12
529,376,10,glo30,12
29,48,6,glo30,12
29,49,6,glo30,12
28,48,6,glo30,12
46,30,6,glo30,12
46,31,6,glo30,12
28,30,6,glo30,12
29,30,6,glo30,12
3,36,6,glo30,12
52,10,6,glo30,12
52,11,6,glo30,12
12,30,6,glo30,12
20,16,6,glo30,12
20,17,6,glo30,12
21,16,6,glo30,12
49,32,6,glo30,12
49,33,6,glo30,12
35,10,6,glo30,12
35,11,6,glo30,12
34,10,6,glo30,12
44,4,6,glo30,12
44,5,6,glo30,12
10,23,5,glo30,12
550,398,10,glo30,12
551,399,10,glo30,12
38,36,6,glo30,12
39,36,6,glo30,12
1080,770,11,glo30,12
1080,771,11,glo30,12
17,18,5,glo30,12
267,193,9,glo30,12
267,192,9,glo30,12
4,36,6,glo30,12
5,36,6,glo30,12
11,8,5,glo30,12
9,1,5,glo30,12
56,28,6,glo30,12
57,28,6,glo30,12
57,29,6,glo30,12
1991,1425,12,glo30,12
1991,1424,12,glo30,12
30,24,5,glo30,12
30,25,5,glo30,12
20,14,5,glo30,12
264,189,9,glo30,12
265,188,9,glo30,12
265,189,9,glo30,12
9,48,6,glo30,12
8,48,6,glo30,12
56,9,6,glo30,12
57,9,6,glo30,12
14,6,5,glo30,12
14,7,5,glo30,12
15,7,5,glo30,12
26,24,6,glo30,12
27,24,6,glo30,12
27,25,6,glo30,12
12,27,5,glo30,12
13,27,5,glo30,12
9,8,5,glo30,12
8,8,5,glo30,12
9,9,5,glo30,12
6,1,4,glo30,12
59,27,6,glo30,12
63,48,6,glo30,12
62,48,6,glo30,12
42,8,6,glo30,12
43,9,6,glo30,12
42,9,6,glo30,12
59,38,6,glo30,12
58,38,6,glo30,12
58,39,6,glo30,12
23,17,5,glo30,12
22,17,5,glo30,12
33,25,6,glo30,12
32,25,6,glo30,12
32,24,6,glo30,12
14,17,5,glo30,12
15,17,5,glo30,12
7,17,5,glo30,12
6,17,5,glo30,12
7,2,5,glo30,12
7,3,5,glo30,12
59,21,6,glo30,12
58,21,6,glo30,12
59,20,6,glo30,12
39,13,6,glo30,12
38,13,6,glo30,12
1069,633,11,glo30,12
1069,632,11,glo30,12
10,21,5,glo30,12
17,2,6,glo30,12
16,3,6,glo30,12
17,3,6,glo30,12
28,12,5,glo30,12
28,13,5,glo30,12
17,32,6,glo30,12
17,33,6,glo30,12
16,32,6,glo30,12
10,26,5,glo30,12
10,27,5,glo30,12
11,27,5,glo30,12
24,2,5,glo30,12
24,3,5,glo30,12
5,10,5,glo30,12
5,11,5,glo30,12
4,10,5,glo30,12
2,27,5,glo30,12
3,26,5,glo30,12
3,27,5,glo30,12
1,7,5,glo30,12
0,7,5,glo30,12
26,32,6,glo30,12
2,33,6,glo30,12
3,33,6,glo30,12
3,32,6,glo30,12
62,50,6,glo30,12
62,51,6,glo30,12
9,12,6,glo30,12
9,13,6,glo30,12
8,13,6,glo30,12
63,31,6,glo30,12
62,31,6,glo30,12
62,30,6,glo30,12
58,40,6,glo30,12
41,10,6,glo30,12
41,11,6,glo30,12
22,14,5,glo30,12
22,15,5,glo30,12
20,20,5,glo30,12
30,20,6,glo30,12
30,21,6,glo30,12
31,20,6,glo30,12
25,21,6,glo30,12
24,21,6,glo30,12
9,24,5,glo30,12
9,25,5,glo30,12
8,25,5,glo30,12
7,20,6,glo30,12
7,21,6,glo30,12
6,21,6,glo30,12
2,48,6,glo30,12
3,48,6,glo30,12
14,14,5,glo30,12
15,14,5,glo30,12
15,15,5,glo30,12
47,28,6,glo30,12
46,29,6,glo30,12
46,28,6,glo30,12
1102,797,11,glo30,12
1103,796,11,glo30,12
1102,796,11,glo30,12
47,8,6,glo30,12
46,9,6,glo30,12
47,9,6,glo30,12
40,36,6,glo30,12
41,36,6,glo30,12
14,4,5,glo30,12
14,5,5,glo30,12
24,36,6,glo30,12
52,38,6,glo30,12
53,38,6,glo30,12
1,36,6,glo30,12
0,36,6,glo30,12
0,37,6,glo30,12
6,36,6,glo30,12
6,37,6,glo30,12
7,36,6,glo30,12
4,7,4,glo30,12
61,13,6,glo30,12
60,13,6,glo30,12
51,36,6,glo30,12
61,47,6,glo30,12
60,47,6,glo30,12
78,69,7,glo30,12
79,69,7,glo30,12
78,68,7,glo30,12
61,28,6,glo30,12
61,29,6,glo30,12
60,29,6,glo30,12
54,29,6,glo30,12
27,52,6,glo30,12
26,53,6,glo30,12
27,53,6,glo30,12
23,18,6,glo30,12
12,8,5,glo30,12
42,47,6,glo30,12
16,17,5,glo30,12
17,16,5,glo30,12
17,17,5,glo30,12
32,32,6,glo30,12
33,33,6,glo30,12
